event_key,active,name,event_start,event_end,event_type,event_subtype,description,host_org,url,media_url,map,seats,goers,invite_only,venue,address,company,audience,subject,geo_area,tags,fsq_venue_id,custom1,custom2,custom4,custom5,id,venue_id,speakers,moderators,artists,sponsors,exhibitors,staff
"1","Y","Black x Queer x Poly: 195 Lewis","2017-06-17 16:00:00","2017-06-17 17:30:00","Film Screening-Performance","","Watch a screening of the unreleased web series project '195 Lewis,' which follows a Black lesbian couple in Brooklyn as they strive to practice radical honesty in their newly polyamorous relationship. We will screen season one of the series and discuss the the triumphs and tribulations of the filmmaking and distribution process.","","","","","0","12","N","State Hall: Room 117","","General","","Everyone","","","","","","","","16378fe00215a81f9d4f0d96f20e15f1","611314","Rae Allen, Ryan Holmes","","","","",""
"94","Y","Collecting Resistance: Histories of Social Justice in Detroit","2017-06-18 10:00:00","2017-06-18 14:30:00","Hands-on Session","","Join us for a Wikipedia learn-to-edit-a-thon and oral history capture focused on curating the history of civil rights and social justice movements in Detroit through firsthand and researched accounts. Afro Free-Culture Crowdsourcing Wikimedia (AfroCROWD) and the Radical, Libraries, Archives and Museums track (RadLAM) invite participants to share testimonies at an oral history listening Station, or get trained on how to add and edit articles on Wikipedia. Wikipedia coaches and members of RadLAM will be on-hand to help.","","","","","0","9","N","Student Center: Room 384","","General","","Everyone","","","","","","","","17473be9c33150bd39098d278e9a15f8","611332","Itza A. Carbajal, Ayshea Khan, Celeste A-Re, Alice Backer Sherry Antoine MPA","","","","",""
"208","Y","The Art of Coping","2017-06-17 14:00:00","2017-06-17 15:30:00","Hands-on Session","","Learn how The Art of Coping, a curriculum designed to address stigmas around anxiety, suicide and mental illness, develops resilience and coping skills in youth. We will explore how the elements of Hip Hop can be used as an outlet to elevate self-knowledge and manage everyday stress. Whether you leave with a tool to use in your personal life or learn how to incorporate emotional wellness and create safe spaces for the young people you serve, The Art of Coping is a resource for everybody.","","","","","0","17","N","State Hall: Room 117","","Youth Activism in Hip Hop","","Everyone","","","","","","","","176460884af8d108359343c792a30d86","611314","Shalina S. Ali","","","","",""
"99","Y","Black Touch: A Somatic Healing Space","2017-06-16 12:45:00","2017-06-16 13:45:00","Hands-on Session","","Black people need the medicine of our bodies. In a society that demonizes and hypersexualizes black bodies touching, we create a container for liberatory physical dialogue to bring connection, unity, and transformation. Participants will explore somatic techniques rooted in compassion and shared presence, releasing tension and recalling our innate worth and value as beings. Together we share the wisdom of our bodies to organize and heal, to affirm that we are not alone.","","","","","0","13","N","State Hall: Room 129","","Wage Love","","Everyone","","","","","","","","17f504b983ad52488e4fdaba7af30598","611337","nyx zierhut, Angela Davis Johnson","","","","",""
"229","Y","Your Problems Are Relevant","2017-06-16 14:00:00","2017-06-16 15:30:00","Hands-on Session","","What if research and data could be used as a tool for community organizing? Youth Participatory Action Research (YPAR) is designed to build community and gather data. We will train participants on how to conduct YPAR, and share some of our own experiences. Participants will leave knowing how to use YPAR to educate others and make changes in their own communities.","","","","","0","13","N","State Hall: Room 117","","General","","Everyone","","","","","","","","192d27c90aabafcb43dbc65ece578fc8","611314","Tyson Trueblood, De'Arreon Robinson, Sharia Cook","","","","",""
"141","Y","Build it Strong: Collective Governance for Collective Liberation","2017-06-18 13:00:00","2017-06-18 14:30:00","Hands-on Session","","As infrastructure erodes, we are tasked with building something new! Worker-owned coops are a great model for innovative collaboration that centers shared governance and democracy in motion. Join co-op thinkers to learn about the nuts and bolts of how to democratically govern a group. Bring questions, explore challenges and possibilities, and leave with best practices and tools for democratic practices guided by our shared commitment to topple systems of oppression and repression.","","","","","0","9","N","State Hall: Room 135","","Resourcing and Sustaining Our Movements","","Everyone","","","","","","","","1974f83a2971ed309979597f64e6b752","611310","Jenna Peters-Golden, Ivy Climacosa, Molly Jane","","","","",""
"114","Y","Accessing Body Memory through Dance","2017-06-16 11:00:00","2017-06-16 12:30:00","Hands-on Session","","Where does our ancestral memory reside? We will explore dance as one aspect of ancestral memory. We will start with an interactive discussion of the body – a rich source of memory – and transition into the movement-based portion of the workshop where we will learn elements of traditional African dance and song. Finally, we will reflect on and strategize ways for maintaining and building collective movement memory.","","","","","0","9","N","Student Center: Room 025","","General","","Everyone","","","","","","","","1adfc055e9259b370da9095481ff49b1","611312","Whiney Smith, Ajara Alghali","","","","",""
"87","Y","Doing Data Justice","2017-06-17 16:00:00","2017-06-17 17:30:00","Strategy Session","","What does participatory governance of public information look like? We’ll present a primer on open data and examples from Detroit found in our Recommendations for Equitable Open Data report. We will strategize together about how to put data justice principles into practice through the collaboration of residents, local governments, and institutions. Participants will collectively design workshops and campaigns to educate and engage our communities in open data policy. Afterwards, we’ll share a public repository of these ideas.","","","","","0","21","N","State Hall: Room 125","","Electric Dreams Digital Futures","","Intermediate","","","","","","","","1c9bf084e32b38241a37e4ec5a0f22a3","611335","Monique Tate, Jessica McInchak, Kristyn Sonnenberg","","","","",""
"245","Y","Intergalactic Conspiracy of Childcare Collectives Network Gathering","2017-06-15 10:00:00","2017-06-15 17:00:00","","","The InterGalactic Conspiracy of Childcare Collectives is a network of groups providing childcare for social justice organizers as a way to support families, caregivers, and parents participating in movement and organizing work. We are holding space for childcare collective members (and prospective members) to share ideas, practices, resources, curriculum, and activities. We will work together to find solutions to shared challenges and anticipate ways our work might evolve in the next few years. We will strengthen our current network by making real-life connections (beyond our online listserv), getting to know each other on a personal level, eating together, and sharing stories of the past, present, and future. As a result of our network gathering, childcare collectives across our galaxy* will be stronger, more motivated, and connected to each other. This is a closed network gathering. *as of right now, our reach extends across North America, but we aspire to galactic connectivity!<br /> <br /> Coordinators of this network gathering are Brit Campese, Sabine Bernards, Bhavana Nancherla, and Phuong Nguyen.","","","","","0","3","N","Student Center: Hilberry E","","","","","","","","","","","","202a7ee73c63744ae2cff05921feb05b","611315","","","","","",""
"28","Y","Schools Not Prisons","2017-06-18 10:00:00","2017-06-18 11:30:00","Panel-Presentation","","How can people power, arts and culture help us reimagine a world without prisons or punishment? We will explore the use of the arts to stop mass incarceration and a culture of punishment, using 2016's #SchoolsNotPrisons Tour as a case study. Attendees will learn community planning, tailored messaging, and DIY tips around the use of arts and culture as tools to advance narrative change and support local organizing campaigns. Folks will leave with the ability to create a new vision of justice centered on health, education and investment in youth.","","","","","0","11","N","Student Center: Hilberry B","","Art as Resistance","","Intermediate","","","","","","","","20dd8ea654505d875d3dbef74fcd1c4c","611326","Ozi Uduma, Andres Reyes","","","","",""
"29","Y","Video and Social Movements 101","2017-06-17 10:00:00","2017-06-17 11:30:00","Hands-on Session","","How can we use visual media to add power to our own stories and struggles? In this session we’ll explore media tools and how they can help storytellers create impactful video and photo projects to share within their own networks. Participants will leave with the tools they need to cover an event or issue and create a powerful media piece.","","","","","0","37","N","State Hall: Room 131","","General","","Everyone","","","","","","","","211b6d7da0810bf45aa4491e34105365","611327","Shadia Fayne Wood, Brooke Anderson, Sunshine Velasco Olivia Abtahi","","","","",""
"50","Y","Reimagining Food Media","2017-06-17 16:00:00","2017-06-17 17:30:00","Hands-on Session","","In this workshop, participants will analyze mainstream food media and create their own media using basic smartphone apps (Notes, GarageBand, iPhoto, etc., both iPhone and Android equivalents).","","","","","0","4","N","State Hall: Room 128","","Food Matters","","Everyone","","","","","","","","223e8c0b68c1b653628fab137aa10077","611309","Shakirah Simley, Stephen Satterfield Stefani Bardin, Pei Ru Ko Tina Antolillini","","","","",""
"274","Y","DANCE DANCE (R)EVOLUTION","2017-06-17 20:00:00","2017-06-18 02:00:00","AMC @ Night","","Join us for our signature music event of the Allied Media Conference! Two stages: inside the museum and outside in Mike Kelley's Mobile Homestead. Performances and sets by: Tunde Olaniran, Rimarkable, Danni Cassette, Latasha Alcindor, Mic Write, Whodat, Ladymonix, Rick Wilhite. Hosted by Mother Cyborg. Visuals by l05. Entry is free for registered AMC participants.","","","","","0","47","N","MOCAD","","","","Everyone","","","","","","","","22b363af6f8b8f746d57232a91a2ec5e","613503","","","","","",""
"63","Y","Toward Education Justice","2017-06-17 18:00:00","2017-06-17 20:00:00","Mealtime Meetup","","Free Minds, Free People (FMFP) is a national conference that brings together teachers, young people, researchers, parents, and community-based activists and educators to develop and promote education as a tool for liberation. Participants will generate ideas about how to use AMC and FMFP 2017 as an organizing opportunity for their organizations and communities toward a vision for educational justice.","","","","","0","10","N","State Hall: Room 125","","General","","Everyone","","","","","","","","23bdcf5054bf25bf515b9d5d82d61f5f","611335","Thomas Nikundiwe, Nate Mullen","","","","",""
"57","Y","'WITH YOU!': A Queer Sports Rom-Com","2017-06-16 16:00:00","2017-06-16 17:30:00","Film Screening-Performance","","WITH YOU! is a queer sports rom-com about a U.S. college rugby team's love for the game and each other, brought to the stage via one person's body. A hilarious show about figuring out which team to play for, this quasi-autobiographical comedy is award-winning performer/playwright Una Aya Osato’s newest show. Based on her experiences playing college rugby for Wesleyan University, Una brings together her love of rom-coms and sports films into a hard-hitting play, equally tough on the body and the heart.","","","","","0","8","N","Student Center: Room 020","","Art as Resistance","","Everyone","","","","","","","","25cfbe22237052786ed62f562a9c5fe5","611318","Michi Ilona Osato, Una Aya Osato","","","","",""
"91","Y","Soul of a Public Library","2017-06-17 14:00:00","2017-06-17 15:30:00","Panel-Presentation","","In early 2017, five librarians were terminated from a toxic workplace and began to speak out after years of resistance to policies and misinformation we believed had a negative impact on our community. We will share our struggle to support each other, to transform working conditions for the remaining staff, and to organize locally for a new library governance structure. Join us to explore the timeline of our resistance and develop strategies for surviving and resisting a culture of fear at work.","","","","","0","12","N","State Hall: Room 114","","Radical Libraries / Archives / and Museums","","Everyone","","","","","","","","25d391922b716c50ff14878221706297","611340","Kristy Cooper, Andrea Perez, Katie Dover-Taylor, Alexis Tharp","","","","",""
"116","Y","Working Girls Own the Void","2017-06-18 13:00:00","2017-06-18 14:30:00","Strategy Session","","This sex-worker led strategy session focuses on digital media’s changing facade as it impacts our industry and our labor. Sex workers have always relied on rhetorical, aesthetic, and poetic media to connect to one another, to clientele, and to the public. Now, we’ve arrived at a pivotal moment, in which media threatens us with exploitation, yet also holds the potential for our independence. The conversation centers on the concept of the “void” – the space between ourselves and our colleagues, ourselves and our clientele, ourselves and our identities – as a site of worker autonomy.","","","","","0","4","N","State Hall: Room 128","","General","","Intermediate","","","","","","","","26cb86eff6d1502f466e88eb4a3883b3","611309","Lyn Archer","","","","",""
"250","Y","Reimagining Movement Resource Strategies Network Gathering","2017-06-15 10:00:00","2017-06-15 17:00:00","","","How can we more boldly and creatively fund and resource movements for the long haul? The Reimagining Movement Resource Strategies Network Gathering will examine new and emerging models for generating community resources, such as grassroots fundraising, giving circles, alternative economies, and resource mapping. Through multimedia storytelling, hands-on activities, participatory dialogue, and facilitated strategy sessions, participants will gain new frameworks, collaborators, models, and tools for generating community resources to bring back to local teams or networks.<br /> <br /> Participants will also gain an understanding of their roles as &ldquo;resource organizers&rdquo; in their communities, joining a growing network of fundraisers, movement builders, organizers, and radical philanthropists who are committed to organizing resources (money, time, space, skills, equipment, etc.) for communities on the frontlines of struggles for justice and equity.<br /> <br /> This network gathering is limited to 60 participants. To find out more and to learn how to register, e-mail resourcingmvmts@gmail.com or fill out our registration form.<br /> <br /> Coordinators of this network gathering are Crystal Middlestadt, Kendra Hicks, and Tanya Mote.","","","","","0","15","N","Student Center: Hilberry A","","","","","","","","","","","","26ffb79f0c4e9dba487e8776fd76cef1","611317","","","","","",""
"211","Y","Writing Resistance and Recovery","2017-06-18 10:00:00","2017-06-18 11:30:00","Practice Space session","","As we struggle with history, place, and possession(s), how do we respond with writing that helps us engage in resistance and recovery? In this workshop we will shape our writing via reading, listening, visualizing, and interacting. We will learn revision strategies, discuss critical poetic terms and concepts, and create a bibliography of texts and authors for future reading.","","","","","0","12","N","State Hall: Center: Room 123","","Poetry and Publishing","","Intermediate","","","","","","","","27b0c047fb7ead33ba73ba5d48a2e6e3","611352","Hoa Nguyen","","","","",""
"30","Y","Migratory Times, Staying Power","2017-06-16 16:00:00","2017-06-16 17:30:00","Strategy Session","","How does shifting cultural narratives help us resist displacement? What do these strategies look like across geography? What counts as resistance, as art, as migration? Using a collaboratively designed set of questions, participants will engage with tools and frameworks from a global network of activists and artists who are using creative strategies to shift narratives of belonging, migration, and displacement.","","","","","0","12","N","State Hall: Room 127","","Art as Resistance","","Intermediate","","","","","","","","2812d62bb90ef40da11affefaed6381b","611333","Emi Kane, Dalida Maria Benfield","","","","",""
"133","Y","Artists and Organizers Shifting Culture","2017-06-18 13:00:00","2017-06-18 14:30:00","Panel-Presentation","","Our communities need visionary solutions, and artists will lead the way. In this session, we’ll explore how artists and organizers produce transformative work through collaborative, not transactional, relationships. Using stories from the Trans Day of Resilience art project, Echoing Ida writing program, and more, we’ll share how to center the radical imaginations of culture workers. Participants will leave with tried and true principles designed to shift culture and fuel any movement.","","","","","0","20","N","State Hall: Room 131","","Art as Resistance","","Everyone","","","","","","","","2838cfe1bd296377c8f545f9a34bec1c","611327","Kemi Alabi, Micah Bazant, Taja Lindley, Bishakh Som","","","","",""
"269","Y","Seraphine Collective Presents the Collective Knowledge Showcase","2017-06-15 19:30:00","2017-06-15 23:00:00","AMC @ Night","","Featuring performances by Pancho Villa (Detroit), Free Bleeders (Detroit), Friendship Commanders (Nashville), Deekah (Detroit), and Sacramento Knoxx (Detroit). $5 admission to support the Collective Knowledge Network Gathering at AMC2017.","","","","","0","41","N","Third Man Records","","","","Everyone","","","","","","","","28d4390338173a164a9a09c5cd12f92f","613499","","","","","",""
